newid,mod,storia,good,quartile,pct_caption,pct_face,pct_none
TI23,images,tappeto,True,3,90.47619047619048,8.333333333333332,1.1904761904761905
TI23,images,tappeto,True,4,90.47619047619048,1.7857142857142856,7.738095238095238
TI24,text,volpe e boscaiolo,True,1,32.86713286713287,37.76223776223776,29.37062937062937
TI24,text,volpe e boscaiolo,True,2,23.200000000000003,16.0,60.8
TI24,text,volpe e boscaiolo,True,3,14.035087719298245,28.947368421052634,57.01754385964912
TI24,text,volpe e boscaiolo,True,4,24.793388429752067,34.710743801652896,40.49586776859504
IT14,text,tappeto,True,1,70.58823529411765,26.47058823529412,2.941176470588235
IT14,text,tappeto,True,2,89.88095238095238,10.119047619047619,0.0
IT14,text,tappeto,True,3,67.85714285714286,30.357142857142854,1.7857142857142856
IT14,text,tappeto,True,4,84.52380952380952,14.285714285714285,1.1904761904761905
TI24,images,tappeto,True,1,63.1578947368421,25.657894736842106,11.18421052631579
TI24,images,tappeto,True,2,62.745098039215684,25.49019607843137,11.76470588235294
TI24,images,tappeto,True,3,13.88888888888889,56.94444444444444,29.166666666666668
TI24,images,tappeto,True,4,79.375,18.125,2.5
TI25,text,volpe e boscaiolo,True,1,27.37430167597765,61.452513966480446,11.1731843575419
TI25,text,volpe e boscaiolo,True,2,27.127659574468083,19.148936170212767,53.72340425531915
TI25,text,volpe e boscaiolo,True,3,43.258426966292134,25.842696629213485,30.89887640449438
TI25,text,volpe e boscaiolo,True,4,35.1063829787234,54.25531914893617,10.638297872340425
TI25,images,tappeto,True,1,52.23880597014925,41.7910447761194,5.970149253731343
TI25,images,tappeto,True,2,89.55223880597015,5.970149253731343,4.477611940298507
TI25,images,tappeto,True,3,79.76190476190477,10.119047619047619,10.119047619047619
TI25,images,tappeto,True,4,70.86092715231787,23.178807947019866,5.960264900662252
TI26,text,volpe e boscaiolo,True,1,26.455026455026452,71.95767195767195,1.5873015873015872
TI26,text,volpe e boscaiolo,True,2,40.95744680851064,53.191489361702125,5.851063829787234
TI26,text,volpe e boscaiolo,True,3,45.45454545454545,52.94117647058824,1.6042780748663104
TI26,text,volpe e boscaiolo,True,4,31.550802139037433,66.84491978609626,1.6042780748663104
IT18,images,volpe e boscaiolo,True,1,48.10126582278481,43.037974683544306,8.860759493670885
IT18,images,volpe e boscaiolo,True,2,88.19444444444444,0.0,11.805555555555555
IT18,images,volpe e boscaiolo,True,3,79.16666666666666,15.972222222222221,4.861111111111112
IT18,images,volpe e boscaiolo,True,4,98.33333333333333,1.1111111111111112,0.5555555555555556
TI26,images,tappeto,True,1,64.70588235294117,31.76470588235294,3.5294117647058822
TI26,images,tappeto,True,2,77.97619047619048,15.476190476190476,6.547619047619048
TI26,images,tappeto,True,3,75.0,22.023809523809522,2.976190476190476
TI26,images,tappeto,True,4,75.0,13.690476190476192,11.30952380952381
IT17,text,tappeto,True,1,27.058823529411764,0.0,72.94117647058823
IT17,text,tappeto,True,2,41.358024691358025,0.6172839506172839,58.0246913580247
IT17,text,tappeto,True,3,0.0,1.7751479289940828,98.22485207100591
IT17,text,tappeto,True,4,11.904761904761903,0.0,88.09523809523809
IT19,images,volpe e boscaiolo,True,1,29.18918918918919,45.40540540540541,25.405405405405407
IT19,images,volpe e boscaiolo,True,2,4.787234042553192,1.5957446808510638,93.61702127659575
IT19,images,volpe e boscaiolo,True,3,8.379888268156424,19.553072625698324,72.06703910614524
IT19,images,volpe e boscaiolo,True,4,4.27807486631016,2.6737967914438503,93.04812834224599
IT19,text,tappeto,False,1,6.666666666666667,68.33333333333333,25.0
IT19,text,tappeto,False,2,13.043478260869565,28.26086956521739,58.69565217391305
IT19,text,tappeto,False,3,22.22222222222222,77.77777777777779,0.0
IT19,text,tappeto,False,4,58.333333333333336,0.0,41.66666666666667
TI05,images,tappeto,False,1,66.66666666666666,33.33333333333333,0.0
TI05,images,tappeto,False,2,90.19607843137256,9.803921568627452,0.0
TI05,images,tappeto,False,4,0.0,100.0,0.0
IT01,images,anguille,True,1,66.45367412140575,11.821086261980831,21.72523961661342
IT01,images,anguille,True,2,59.23566878980891,4.140127388535031,36.624203821656046
IT01,images,anguille,True,3,65.814696485623,0.0,34.185303514377
IT01,images,anguille,True,4,56.86900958466453,2.5559105431309903,40.57507987220447
IT01,text,orso,True,1,87.34793187347933,1.9464720194647203,10.70559610705596
IT01,text,orso,True,2,73.44497607655502,17.464114832535884,9.090909090909092
IT01,text,orso,True,3,97.36842105263158,1.4354066985645932,1.1961722488038278
IT01,text,orso,True,4,60.76555023923444,15.789473684210526,23.444976076555022
IT03,images,delfino,True,1,79.51482479784366,18.328840970350406,2.15633423180593
IT03,images,delfino,True,2,86.32707774798928,9.115281501340483,4.557640750670242
IT03,images,delfino,True,3,39.07103825136612,49.72677595628415,11.202185792349727
